date,revenue,refunds,new_customers,churned_customers,google_spend,meta_spend,total_spend,sessions,conversions,conversion_rate,net_revenue,refund_rate,CAC,active_customers_30d,churn_rate,revenue_growth_7d,spend_change_7d,weekday,is_weekend,refund_rate_raw,refund_rate_clean,rolling_7d_spend,rolling_7d_new_customers,CAC_clean,churn_rate_clean
2026-04-02,5415.0,270.75,47,3,672.0,448.0,1120.0,5065,150,0.0296,5144.25,0.05,23.8298,47.0,,0.0,0.0,Thursday,False,0.05,0.05,1120.0,47.0,23.829787234042552,
2026-04-03,4508.0,225.4,53,2,756.0,504.0,1260.0,5069,150,0.0296,4282.6,0.05,23.8,100.0,0.02,0.0,0.0,Friday,False,0.05,0.05,2380.0,100.0,23.8,0.02
2026-04-04,4742.0,237.1,48,3,735.0,490.0,1225.0,4896,150,0.0306,4504.9,0.05,24.3581,148.0,0.0203,0.0,0.0,Saturday,True,0.049999999999999996,0.05,3605.0,148.0,24.35810810810811,0.02027027027027027
2026-04-05,5119.0,255.95,46,3,687.6,458.4,1146.0,5199,150,0.0289,4863.05,0.05,24.4897,194.0,0.0155,0.0,0.0,Sunday,True,0.049999999999999996,0.049999999999999996,4751.0,194.0,24.489690721649485,0.015463917525773196
2026-04-06,4897.0,244.85,49,3,717.0,478.0,1195.0,5173,150,0.029,4652.15,0.05,24.4691,243.0,0.0123,0.0,0.0,Monday,False,0.049999999999999996,0.049999999999999996,5946.0,243.0,24.469135802469136,0.012345679012345678
2026-04-07,5280.0,264.0,54,2,711.6,474.4,1186.0,4860,150,0.0309,5016.0,0.05,24.0135,297.0,0.0067,0.0,0.0,Tuesday,False,0.05,0.05,7132.0,297.0,24.013468013468014,0.006734006734006734
2026-04-08,4573.0,228.65,50,3,702.0,468.0,1170.0,5070,150,0.0296,4344.35,0.05,23.9251,347.0,0.0086,0.0,0.0,Wednesday,False,0.05,0.05,8302.0,347.0,23.92507204610951,0.008645533141210375
2026-04-09,5342.0,267.1,54,3,672.6,448.4,1121.0,5109,150,0.0294,5074.9,0.05,23.4548,401.0,0.0075,-0.0135,0.0009,Thursday,False,0.05,0.05,8303.0,354.0,23.454802259887007,0.007481296758104738
2026-04-10,5223.0,261.15,49,3,677.4,451.6,1129.0,4884,150,0.0307,4961.85,0.05,23.3486,450.0,0.0067,0.1586,-0.104,Friday,False,0.049999999999999996,0.049999999999999996,8172.0,350.0,23.34857142857143,0.006666666666666667
2026-04-11,4978.0,248.9,45,2,691.8,461.2,1153.0,4820,150,0.0311,4729.1,0.05,23.3429,495.0,0.004,0.0498,-0.0588,Saturday,True,0.05,0.049999999999999996,8100.0,347.0,23.34293948126801,0.00404040404040404
