date,google_spend,meta_spend,total_spend
2026-04-02,672.0,448.0,1120.0
2026-04-03,756.0,504.0,1260.0
2026-04-04,735.0,490.0,1225.0
2026-04-05,687.6,458.4,1146.0
2026-04-06,717.0,478.0,1195.0
2026-04-07,711.6,474.4,1186.0
2026-04-08,702.0,468.0,1170.0
2026-04-09,672.6,448.4,1121.0
2026-04-10,677.4,451.6,1129.0
2026-04-11,691.8,461.2,1153.0
2026-04-12,665.4,443.6,1109.0
2026-04-13,667.2,444.8,1112.0
2026-04-14,760.2,506.8,1267.0
2026-04-15,765.6,510.4,1276.0
2026-04-16,761.4,507.6,1269.0
2026-04-17,660.6,440.4,1101.0
2026-04-18,724.2,482.8,1207.0
2026-04-19,729.6,486.4,1216.0
2026-04-20,687.6,458.4,1146.0
2026-04-21,744.6,496.4,1241.0
2026-04-22,718.2,478.8,1197.0
2026-04-23,710.4,473.6,1184.0
2026-04-24,750.0,500.0,1250.0
2026-04-25,723.6,482.4,1206.0
2026-04-26,687.0,458.0,1145.0
2026-04-27,1010.1,673.4,1683.5
2026-04-28,989.04,659.36,1648.4
2026-04-29,907.14,604.76,1511.9
2026-04-30,950.82,633.88,1584.7
2026-05-01,922.74,615.16,1537.9
2026-05-02,917.28,611.52,1528.8
