date,google_spend,meta_spend,total_spend
2010-12-01,7810.34,5221.12,13031.46
2010-12-02,8433.1,5814.73,14247.83
2010-12-03,3512.0,2292.49,5804.49
2010-12-05,4744.81,3188.53,7933.34
2010-12-06,5130.31,3434.6,8564.91
2010-12-07,9623.74,6146.62,15770.36
2010-12-08,6503.93,4231.62,10735.55
2010-12-09,5302.55,3559.61,8862.16
2010-12-10,2491.27,1718.58,4209.85
2010-12-12,1228.24,813.45,2041.69
2010-12-13,2376.33,1627.35,4003.68
2010-12-14,2490.86,1555.42,4046.28
2010-12-15,2749.42,1741.86,4491.28
2010-12-16,4406.04,2839.22,7245.26
2010-12-17,864.11,574.54,1438.65
2010-12-19,572.23,381.7,953.93
2010-12-20,1497.3,979.63,2476.93
2010-12-21,501.43,344.86,846.29
2010-12-22,388.1,246.2,634.3
2010-12-23,361.78,235.18,596.96
2011-01-04,1068.9,707.58,1776.48
2011-01-05,2431.23,1611.34,4042.57
2011-01-06,2488.48,1655.52,4144.0
2011-01-07,1647.94,1101.09,2749.03
2011-01-09,1323.39,856.72,2180.11
2011-01-10,1014.65,685.76,1700.41
2011-01-11,4806.61,3226.5,8033.11
2011-01-12,1227.34,887.22,2114.56
2011-01-13,1112.97,780.28,1893.25
2011-01-14,904.27,610.03,1514.3
2011-01-16,667.74,435.95,1103.69
2011-01-17,1272.16,821.0,2093.16
2011-01-18,7431.71,4935.48,12367.19
2011-01-19,813.09,562.08,1375.17
2011-01-20,928.9,602.67,1531.57
2011-01-21,1326.99,930.8,2257.79
2011-01-23,856.79,614.54,1471.33
2011-01-24,1075.24,692.14,1767.38
2011-01-25,1668.77,1156.83,2825.6
2011-01-26,1272.27,800.25,2072.52
2011-01-27,1497.1,1027.05,2524.15
2011-01-28,1138.59,704.09,1842.68
2011-01-30,607.34,414.25,1021.59
2011-01-31,1126.8,737.81,1864.61
2011-02-01,2173.76,1466.93,3640.69
2011-02-02,1478.33,985.18,2463.51
2011-02-03,1677.66,1141.76,2819.42
2011-02-04,1371.8,960.72,2332.52
2011-02-06,316.82,213.55,530.37
2011-02-07,1835.89,1326.3,3162.19
2011-02-08,1081.9,725.24,1807.14
2011-02-09,403.46,285.46,688.92
2011-02-10,1252.18,778.64,2030.82
2011-02-11,1464.84,971.88,2436.72
2011-02-13,524.78,331.55,856.33
2011-02-14,1743.34,1137.83,2881.17
2011-02-15,1555.88,1049.08,2604.96
2011-02-16,1759.89,1161.29,2921.18
2011-02-17,1342.05,930.23,2272.28
2011-02-18,1117.75,795.5,1913.25
2011-02-20,880.81,594.76,1475.57
2011-02-21,946.74,632.49,1579.23
2011-02-22,2350.63,1572.43,3923.06
2011-02-23,1574.22,1066.48,2640.7
2011-02-24,1804.32,1141.76,2946.08
