date,revenue,refunds,new_customers,churned_customers
2010-12-01,84467.56,405.86,89,0
2010-12-02,94277.36,3033.2,92,0
2010-12-03,37671.38,2646.5,34,0
2010-12-05,51699.7,782.0,63,0
2010-12-06,59414.6,1399.12,68,0
2010-12-07,102075.48,1338.64,48,0
2010-12-08,70426.8,2374.78,79,0
2010-12-09,57278.7,1999.2,58,0
2010-12-10,28749.97,1644.93,37,0
2010-12-12,13715.18,88.15,30,0
2010-12-13,26749.22,188.35,33,0
2010-12-14,26543.48,1133.29,33,0
2010-12-15,30115.83,700.43,41,0
2010-12-16,47425.27,772.7,57,0
2010-12-17,9655.86,1866.14,16,0
2010-12-19,6536.42,17.6,6,0
2010-12-20,16546.33,986.42,13,0
2010-12-21,5825.53,201.2,9,0
2010-12-22,4175.4,65.4,4,0
2010-12-23,3967.57,207.85,5,0
2011-01-04,11577.9,1035.6,13,134
2011-01-05,27412.45,181.92,13,169
2011-01-06,26406.79,1168.38,16,212
2011-01-07,17617.9,1603.45,17,249
2011-01-09,14306.04,67.4,22,349
2011-01-10,11628.99,340.53,12,375
2011-01-11,53585.08,838.46,23,372
2011-01-12,14289.0,711.05,15,394
2011-01-13,12809.2,91.1,15,426
2011-01-14,9866.79,199.64,8,463
2011-01-16,7242.06,125.45,15,563
2011-01-17,13503.79,77.02,15,582
2011-01-18,84038.34,77266.55,10,567
2011-01-19,9152.94,337.51,8,566
2011-01-20,10352.58,263.23,12,581
2011-01-21,15216.88,594.16,10,587
2011-01-23,9885.75,114.3,12,590
2011-01-24,11976.26,178.17,20,585
2011-01-25,19062.51,1028.7,24,575
2011-01-26,13900.33,428.97,21,564
2011-01-27,16739.68,780.24,16,558
2011-01-28,12243.63,1427.18,14,549
2011-01-30,6615.75,159.31,9,541
2011-01-31,12759.42,1190.46,18,492
2011-02-01,23376.2,546.32,27,431
2011-02-02,15940.08,142.25,23,412
2011-02-03,18852.75,30.95,16,406
2011-02-04,15571.88,49.92,18,400
2011-02-06,3457.11,0.0,4,377
2011-02-07,21161.1,258.19,13,357
2011-02-08,12393.04,25.05,8,315
2011-02-09,4715.21,0.0,6,315
2011-02-10,13525.0,1468.92,14,325
2011-02-11,16012.0,2344.27,9,323
2011-02-13,5713.63,178.23,7,296
2011-02-14,18841.53,442.43,10,275
2011-02-15,17358.92,143.45,14,226
2011-02-16,19420.84,200.29,17,229
2011-02-17,15468.89,10.8,12,250
2011-02-18,12917.36,234.5,12,255
2011-02-20,9624.69,45.8,10,257
2011-02-21,10549.8,218.9,13,268
2011-02-22,25948.78,159.28,20,259
2011-02-23,17039.81,98.84,19,268
2011-02-24,19781.49,149.11,20,287
2011-02-25,16708.04,17.1,16,314
2011-02-27,9003.35,35.45,12,353
2011-02-28,12274.13,1.95,20,375
2011-03-01,12668.97,42.95,18,370
2011-03-02,17842.85,350.95,21,382
2011-03-03,14253.73,367.73,18,404
2011-03-04,14479.44,31.93,14,433
2011-03-06,9997.42,409.14,8,474
2011-03-07,19452.07,607.8,19,481
2011-03-08,19775.79,26.9,20,463
