date,sessions,conversions,conversion_rate
2010-12-01,3400,114,0.0335
2010-12-02,3819,135,0.0353
2010-12-03,1329,44,0.0331
2010-12-05,2299,78,0.0339
2010-12-06,2378,89,0.0374
2010-12-07,2060,67,0.0325
2010-12-08,3125,105,0.0336
2010-12-09,2540,85,0.0335
2010-12-10,1800,67,0.0372
2010-12-12,1190,42,0.0353
2010-12-13,1735,62,0.0357
2010-12-14,2411,79,0.0328
2010-12-15,2017,69,0.0342
2010-12-16,3305,110,0.0333
2010-12-17,1048,37,0.0353
2010-12-19,437,16,0.0366
2010-12-20,1297,45,0.0347
2010-12-21,558,21,0.0376
2010-12-22,361,12,0.0332
2010-12-23,408,14,0.0343
2011-01-04,1012,34,0.0336
2011-01-05,1284,46,0.0358
2011-01-06,1290,42,0.0326
2011-01-07,1215,40,0.0329
2011-01-09,1313,44,0.0335
2011-01-10,788,29,0.0368
2011-01-11,1279,45,0.0352
2011-01-12,953,36,0.0378
2011-01-13,1053,39,0.037
2011-01-14,853,29,0.034
2011-01-16,742,25,0.0337
2011-01-17,1259,41,0.0326
2011-01-18,778,28,0.036
2011-01-19,727,26,0.0358
2011-01-20,825,29,0.0352
2011-01-21,842,31,0.0368
2011-01-23,699,26,0.0372
2011-01-24,1053,37,0.0351
2011-01-25,1421,52,0.0366
2011-01-26,1379,47,0.0341
2011-01-27,1216,43,0.0354
2011-01-28,933,31,0.0332
2011-01-30,708,24,0.0339
2011-01-31,1386,50,0.0361
2011-02-01,1535,51,0.0332
2011-02-02,1528,51,0.0334
2011-02-03,1094,39,0.0356
2011-02-04,1077,39,0.0362
2011-02-06,323,11,0.0341
2011-02-07,889,33,0.0371
2011-02-08,952,35,0.0368
2011-02-09,474,18,0.038
2011-02-10,1106,37,0.0335
2011-02-11,1056,36,0.0341
2011-02-13,590,20,0.0339
2011-02-14,925,31,0.0335
2011-02-15,1362,48,0.0352
2011-02-16,1646,57,0.0346
2011-02-17,1292,48,0.0372
2011-02-18,804,30,0.0373
2011-02-20,763,26,0.0341
2011-02-21,654,23,0.0352
2011-02-22,1415,49,0.0346
2011-02-23,1459,49,0.0336
2011-02-24,1459,50,0.0343
2011-02-25,1181,41,0.0347
2011-02-27,894,31,0.0347
2011-02-28,1190,43,0.0361
2011-03-01,1216,46,0.0378
2011-03-02,1131,40,0.0354
2011-03-03,1091,40,0.0367
2011-03-04,1042,37,0.0355
2011-03-06,785,26,0.0331
2011-03-07,1477,54,0.0366
2011-03-08,1062,40,0.0377
2011-03-09,1296,47,0.0363
2011-03-10,1243,45,0.0362
2011-03-11,1290,44,0.0341
2011-03-13,432,15,0.0347
2011-03-14,1195,40,0.0335
2011-03-15,1056,36,0.0341
2011-03-16,1266,45,0.0355
2011-03-17,1500,50,0.0333
2011-03-18,1244,46,0.037
2011-03-20,1346,51,0.0379
2011-03-21,1201,45,0.0375
2011-03-22,1006,34,0.0338
2011-03-23,1448,51,0.0352
2011-03-24,1648,61,0.037
2011-03-25,1229,43,0.035
2011-03-27,809,30,0.0371
2011-03-28,1444,49,0.0339
2011-03-29,1360,48,0.0353
2011-03-30,1738,62,0.0357
2011-03-31,1439,52,0.0361
2011-04-01,1838,63,0.0343
2011-04-03,531,19,0.0358
2011-04-04,1228,46,0.0375
2011-04-05,1046,39,0.0373
2011-04-06,1105,36,0.0326
2011-04-07,1644,54,0.0328
2011-04-08,1769,60,0.0339
2011-04-10,853,31,0.0363
2011-04-11,1597,52,0.0326
2011-04-12,1761,59,0.0335
2011-04-13,1715,58,0.0338
2011-04-14,2097,74,0.0353
2011-04-15,991,36,0.0363
2011-04-17,1042,39,0.0374
2011-04-18,1794,59,0.0329
2011-04-19,1333,47,0.0353
2011-04-20,1605,59,0.0368
2011-04-21,1772,64,0.0361
2011-04-26,1591,55,0.0346
2011-04-27,1571,58,0.0369
2011-04-28,1510,50,0.0331
2011-05-01,506,17,0.0336
2011-05-03,1508,51,0.0338
2011-05-04,1583,56,0.0354
2011-05-05,2187,75,0.0343
2011-05-06,2085,72,0.0345
2011-05-08,1785,61,0.0342
2011-05-09,1547,58,0.0375
2011-05-10,1832,65,0.0355
2011-05-11,1747,66,0.0378
2011-05-12,1970,69,0.035
2011-05-13,1695,61,0.036
2011-05-15,754,28,0.0371
2011-05-16,1525,57,0.0374
2011-05-17,1941,67,0.0345
2011-05-18,1759,65,0.037
2011-05-19,2441,80,0.0328
2011-05-20,1881,65,0.0346
2011-05-22,1589,57,0.0359
2011-05-23,1449,50,0.0345
2011-05-24,1583,60,0.0379
2011-05-25,1656,54,0.0326
2011-05-26,1396,49,0.0351
2011-05-27,1583,53,0.0335
2011-05-29,613,23,0.0375
2011-05-31,1254,44,0.0351
2011-06-01,941,33,0.0351
2011-06-02,1192,39,0.0327
2011-06-03,1040,36,0.0346
2011-06-05,1679,59,0.0351
2011-06-06,1375,50,0.0364
2011-06-07,1863,67,0.036
2011-06-08,2064,72,0.0349
2011-06-09,1952,69,0.0353
2011-06-10,1082,41,0.0379
2011-06-12,1082,36,0.0333
2011-06-13,1367,45,0.0329
2011-06-14,1400,52,0.0371
2011-06-15,1182,41,0.0347
2011-06-16,2009,75,0.0373
2011-06-17,1204,41,0.0341
2011-06-19,1489,54,0.0363
2011-06-20,1465,50,0.0341
2011-06-21,1273,43,0.0338
2011-06-22,1460,49,0.0336
2011-06-23,1660,62,0.0373
2011-06-24,1219,40,0.0328
2011-06-26,629,23,0.0366
2011-06-27,847,32,0.0378
2011-06-28,1297,45,0.0347
2011-06-29,1035,37,0.0357
2011-06-30,1745,58,0.0332
2011-07-01,1049,35,0.0334
