date,revenue,refunds,new_customers,churned_customers
2026-04-02,5415.0,270.75,47,3
2026-04-03,4508.0,225.4,53,2
2026-04-04,4742.0,237.1,48,3
2026-04-05,5119.0,255.95,46,3
2026-04-06,4897.0,244.85,49,3
2026-04-07,5280.0,264.0,54,2
2026-04-08,4573.0,228.65,50,3
2026-04-09,5342.0,267.1,54,3
2026-04-10,5223.0,261.15,49,3
2026-04-11,4978.0,248.9,45,2
2026-04-12,4686.0,234.3,45,3
2026-04-13,5104.0,255.2,48,3
2026-04-14,5480.0,274.0,48,3
2026-04-15,4625.0,231.25,50,3
2026-04-16,4856.0,242.8,45,3
2026-04-17,4856.0,242.8,51,2
2026-04-18,4575.0,228.75,48,2
2026-04-19,5406.0,270.3,53,2
2026-04-20,4624.0,231.2,54,3
2026-04-21,4704.0,235.2,52,2
2026-04-22,4899.0,244.95,45,2
2026-04-23,4905.0,245.25,51,2
2026-04-24,5442.0,272.1,46,3
2026-04-25,4566.0,228.3,47,2
2026-04-26,4876.0,243.8,50,3
2026-04-27,3714.2,557.13,51,15
2026-04-28,3482.5,522.38,46,15
2026-04-29,3623.2,543.48,45,15
2026-04-30,3404.1,510.61,46,15
2026-05-01,3799.6,569.94,54,15
2026-05-02,3448.2,517.23,47,15
