date,sessions,conversions,conversion_rate
2026-04-02,5065,150,0.0296
2026-04-03,5069,150,0.0296
2026-04-04,4896,150,0.0306
2026-04-05,5199,150,0.0289
2026-04-06,5173,150,0.029
2026-04-07,4860,150,0.0309
2026-04-08,5070,150,0.0296
2026-04-09,5109,150,0.0294
2026-04-10,4884,150,0.0307
2026-04-11,4820,150,0.0311
2026-04-12,5069,150,0.0296
2026-04-13,5067,150,0.0296
2026-04-14,5043,150,0.0297
2026-04-15,4881,150,0.0307
2026-04-16,5063,150,0.0296
2026-04-17,5167,150,0.029
2026-04-18,5007,150,0.03
2026-04-19,5115,150,0.0293
2026-04-20,5143,150,0.0292
2026-04-21,5061,150,0.0296
2026-04-22,4993,150,0.03
2026-04-23,4817,150,0.0311
2026-04-24,4810,150,0.0312
2026-04-25,5172,150,0.029
2026-04-26,4825,150,0.0311
2026-04-27,5147,100,0.0194
2026-04-28,4809,100,0.0208
2026-04-29,5121,100,0.0195
2026-04-30,4894,100,0.0204
2026-05-01,5084,100,0.0197
2026-05-02,4822,100,0.0207
